category,no,name,unit,stock,price_per_unit,selling_price
STOCK STICKER,80,Sticker Pouch Simple Depan Personal,pcs,82.0,158.0,210.14
STOCK STICKER,81,Sticker Pouch Simple Belakang Personal,pcs,92.0,158.0,210.14
STOCK STICKER,82,Sticker Pouch Mix Depan Personal,pcs,47.0,158.0,210.14
STOCK STICKER,83,Sticker Pouch Mix Belakang Personal,pcs,51.0,158.0,210.14
STOCK LAIN,84,Batre AAA,pcs,6.0,6000.0,7980
STOCK LAIN,85,Bubble Mailer,pcs,15.0,999.0,1328.67
STOCK LAIN,86,Bubble Wrap,pcs,AMAN,300.0,399
STOCK LAIN,87,Concrete Sachet Reddish Wish,pcs,0.0,1742.0,2316.86
STOCK LAIN,88,Concrete Sachet Simple Purple,pcs,0.0,1077.0,1432.41
STOCK LAIN,89,Concrete Sachet Yellow Helow,pcs,0.0,1209.0,1607.97
STOCK LAIN,90,Concrete Sticker Sachet Reddish,pcs,146.0,129.0,171.57
STOCK LAIN,91,Concrete Sticker Sachet Simple,pcs,141.0,129.0,171.57
STOCK LAIN,92,Concrete Sticker Sachet Yellow,pcs,145.0,129.0,171.57
STOCK LAIN,93,Hair Net,pcs,17.0,440.0,585.2
STOCK LAIN,94,Handall Stiker Tag Kantong Reddish,pcs,300.0,11.0,14.63
STOCK LAIN,95,Handall Stiker Tag Kantong Simple,pcs,325.0,11.0,14.63
STOCK LAIN,96,Handall Stiker Tag Kantong Yellow,pcs,124.0,11.0,14.63
STOCK LAIN,97,Kardus Besar (Botol 2) 27.5x14.5x18.5,pcs,7.0,4000.0,5320
STOCK LAIN,98,Kardus Hampers,pcs,7.0,5200.0,6916
STOCK LAIN,99,Kardus Kecil (3 pouch) (Botol 8) 20x15x10,pcs,8.0,1800.0,2394
STOCK LAIN,100,"Kardus Potato (45x35x24,5)",pcs,20.0,9000.0,11970
STOCK LAIN,101,Kardus Sedang (100 sachet) (Botol 4) 25x13x14,pcs,7.0,3000.0,3990
STOCK LAIN,102,Kardus Super Besar (Mangga10kg) 34x26x14,pcs,1.0,15000.0,19950
STOCK LAIN,103,Kardus Super Kecil 20x10x8,pcs,7.0,7000.0,9310
STOCK LAIN,104,Lakban Fragile,pcs,2.0,7000.0,9310
STOCK LAIN,105,Kartu Nama Reddish Wish,pcs,23.0,500.0,665
STOCK LAIN,106,Kartu Nama Simple Purple,pcs,31.0,500.0,665
STOCK LAIN,107,Kartu Nama Yellow Helow,pcs,35.0,500.0,665
STOCK LAIN,108,Kartu Ucapan,pcs,22.0,555.0,738.15
STOCK LAIN,109,Lakban kertas besar,pcs,1.0,7000.0,9310
STOCK LAIN,110,Lakban Transparan,pcs,2.0,7000.0,9310
STOCK LAIN,111,Lakban transparan kecil,pcs,7.0,7000.0,9310
STOCK LAIN,112,Maples Sachet Reddish,pcs,2.0,825.0,1097.25
STOCK LAIN,113,Maples Sachet Simple,pcs,2.0,825.0,1097.25
STOCK LAIN,114,Maples Sachet Yellow,pcs,2.0,825.0,1097.25
STOCK LAIN,115,Maples Tag Reddish,pcs,252.0,825.0,1097.25
STOCK LAIN,116,Maples Tag Simple,pcs,250.0,825.0,1097.25
STOCK LAIN,117,Maples Tag Yellow,pcs,253.0,825.0,1097.25
STOCK LAIN,118,Masker,pcs,11.0,100.0,133
STOCK LAIN,119,Paperbag Besar 20x20x20 (7 pouch),pcs,34.0,1800.0,2394
STOCK LAIN,120,Paperbag Kecil (13x12x16) (2 pouch),pcs,3.0,100.0,133
STOCK LAIN,121,Pendopo Tag Purple,pcs,302.0,11.0,14.63
STOCK LAIN,122,Pendopo Tag Reddish,pcs,305.0,11.0,14.63
STOCK LAIN,123,Pendopo Tag Yellow,pcs,306.0,11.0,14.63
STOCK LAIN,124,Plastik Klip Gula Batu,pcs,16.0,35.0,46.55
STOCK LAIN,125,Plastik Klip Kantong besar,pcs,9.0,500.0,665
STOCK LAIN,126,Plastik Klip Kantong Kecil,pcs,138.0,200.0,266
STOCK LAIN,127,Plastik Klip Kantong Sedang,pcs,103.0,200.0,266
STOCK LAIN,128,Plastik Klip Uwuh,pcs,3.0,300.0,399
STOCK LAIN,129,Pouch Alumunium,pcs,50.0,282.0,375.06
STOCK LAIN,130,Pouch Polos Family,pcs,31.0,2790.0,3710.7
STOCK LAIN,131,Primadona Reddish Sachet,pcs,2.0,875.0,1163.75
STOCK LAIN,132,Primadona Simple Sachet,pcs,1.0,875.0,1163.75
STOCK LAIN,133,Primadona Stiker Tag Kantong Reddish,pcs,258.0,11.0,14.63
STOCK LAIN,134,Primadona Stiker Tag Kantong Simple,pcs,257.0,11.0,14.63
STOCK LAIN,135,Primadona Stiker Tag Kantong Yellow,pcs,260.0,11.0,14.63
